"","RiskPerformance","ExternalRiskEstimate","MSinceOldestTradeOpen","MSinceMostRecentTradeOpen","AverageMInFile","NumSatisfactoryTrades","NumTrades60Ever2DerogPubRec","NumTrades90Ever2DerogPubRec","PercentTradesNeverDelq","MSinceMostRecentDelq","MaxDelq2PublicRecLast12M","MaxDelqEver","NumTotalTrades","NumTradesOpeninLast12M","PercentInstallTrades","MSinceMostRecentInqexcl7days","NumInqLast6M","NumInqLast6Mexcl7days","NetFractionRevolvingBurden","NetFractionInstallBurden","NumRevolvingTradesWBalance","NumInstallTradesWBalance","NumBank2NatlTradesWHighUtilization","PercentTradesWBalance","No_report","No_valid_MSinceOldestTradeOpen","No_valid_MSinceMostRecentDelq","No_valid_MSinceMostRecentInqexcl7days","No_valid_NetFractionRevolvingBurden","No_valid_NetFractionInstallBurden","No_valid_NumRevolvingTradesWBalance","No_valid_NumInstallTradesWBalance","No_valid_NumBank2NatlTradesWHighUtilization","No_MSinceMostRecentDelq","No_MSinceMostRecentInqexcl7days"
"4952","Bad",54,126,3,26,9,1,1,90,1,"4","6",11,2,36,3,2,2,44,76,4,2,1,86,"0","0","0","0","0","0","0","0","0","0","0"
"3064","Good",83,83,22,80,7,0,0,100,30.0804166666667,"7","8",11,0,29,2,1,1,30,43,2,1,0,75,"0","0","0","0","0","0","0","0","0","1","0"
"328","Good",64,345,3,109,31,2,1,92,59,"6","2",36,3,42,0,3,3,51,78,6,1,3,64,"0","0","0","0","0","0","0","0","0","0","0"
"7872","Bad",83,254,9,96,27,1,1,96,72,"6","4",28,1,18,0,1,1,10,33,6,2,0,60,"0","0","0","0","0","0","0","0","0","0","0"
"7184","Bad",78,410,2,93,40,0,0,98,59,"6","6",41,3,27,11,0,0,2,51,11,3,0,54,"0","0","0","0","0","0","0","0","0","0","0"
"4476","Bad",83,115,1,60,19,0,0,100,39.3077777777778,"7","8",21,3,29,1,4,4,8,5,3,2,0,45,"0","0","0","0","0","0","0","0","0","1","0"
"9532","Good",62,232,9,80,31,2,2,84,12,"6","6",31,1,23,6.18928466386555,0,0,20,51,5,4,2,71,"0","0","0","0","0","0","0","0","0","0","1"
"5693","Good",80,141,9,57,33,0,0,100,33.31,"7","8",33,2,24,8,0,0,6,69.9841904761905,1,1,1,43,"0","0","0","0","0","1","0","0","0","1","0"
"1854","Good",66,311,9,84,32,1,1,100,27.885,"7","8",33,3,39,4.8783,0,0,48,64,9,5,1,74,"0","0","0","0","0","0","0","0","0","1","1"
"7833","Bad",70,172,19,85,29,0,0,100,25.814,"7","8",31,0,16,0,1,1,65,56.715,9,1,3,77,"0","0","0","0","0","1","0","0","0","1","0"
"5190","Good",88,267,4,79,19,0,0,100,31.9653333333333,"7","8",19,1,0,0,1,1,5,64.3078333333333,4,1.2015,0,29,"0","0","0","0","0","1","0","1","0","1","0"
"9357","Good",79,507,23,197,21,0,0,100,39.139347826087,"7","8",21,0,29,0,0,0,64,53,6,3,2,83,"0","0","0","0","0","0","0","0","0","1","0"
"3545","Good",75,234,0,73,34,1,0,97,30,"6","5",45,6,11,0,2,2,11,88,6,2,1,33,"0","0","0","0","0","0","0","0","0","0","0"
"1427","Bad",58,139,16,87,14,1,0,75,2,"3","5",16,0,50,0,2,2,84,56.8176923076923,7,1,1,100,"0","0","0","0","0","1","0","0","0","0","0"
"1761","Bad",62,200,2,78,30,0,0,90,5,"4","6",31,2,26,0,0,0,53,73.93,6,1,0,54,"0","0","0","0","0","1","0","0","0","0","0"
"4798","Good",62,164,7,64,21,0,0,86,5,"4","6",21,1,19,0,0,0,70,52,5,1,1,75,"0","0","0","0","0","0","0","0","0","0","0"
"6472","Good",81,325,9,117,20,1,0,95,35,"6","5",21,3,52,10,0,0,3,31,2,2,0,63,"0","0","0","0","0","0","0","0","0","0","0"
"4809","Bad",55,367,2,74,24,0,0,96,8,"4","6",26,10,46,0,7,6,77,63,6,4,4,100,"0","0","0","0","0","0","0","0","0","0","0"
"4341","Good",91,270,23,132,16,0,0,100,29.7870833333333,"7","8",16,0,13,7.50269268966328,0,0,6,51.5235634920635,3,1,0,50,"0","0","0","1","0","1","0","0","0","1","0"
"9409","Good",86,143,1,79,8,0,0,100,35.8510714285714,"7","8",9,1,44,0,0,0,13,58.731880952381,4,2,0,86,"0","0","0","0","0","1","0","0","0","1","0"
"1895","Bad",65,242,4,28,6,2,2,75,13,"6","2",7,3,63,0.64,2,2,23,87,1,3,0,100,"0","0","0","0","0","0","0","0","0","0","1"
"4828","Good",84,278,10,93,34,0,0,94,18,"5","6",34,1,18,0,0,0,9,61.5317261904762,5,1,0,43,"0","0","0","0","0","1","0","0","0","0","0"
"2121","Bad",68,73.5558571428571,4,17,14,0,0,100,34.7635714285714,"7","8",0,7,21,1.13,3,3,11,80.3677777777778,2,2,1,40,"0","1","0","0","0","1","0","0","0","1","1"
"4343","Good",68,103,17,49,19,1,1,90,5,"6","2",20,0,35,9,0,0,13,54.095696969697,1,2,0,50,"0","0","0","0","0","1","0","0","0","0","0"
"2468","Bad",57,346,25,68,13,1,1,73,4,"4","6",26,0,53,9,0,0,0,53,2,4,0,67,"0","0","0","0","0","0","0","0","0","0","0"
"3261","Bad",63,204,1,71,48,0,0,98,28,"6","6",30,5,47,1,1,1,51,90,5,11,2,70,"0","0","0","0","0","0","0","0","0","0","0"
"842","Bad",63,27,2,14,5,0,0,100,30.3216666666667,"7","8",6,3,50,1,2,2,57,78,2,2,1,80,"0","0","0","0","0","0","0","0","0","1","0"
"4583","Good",84,269,13,146,29,0,0,97,56,"6","6",31,0,39,0,2,2,0,64,3,1,0,36,"0","0","0","0","0","0","0","0","0","0","0"
"9330","Good",72,261,15,110,10,1,1,100,31.95,"7","8",11,0,30,0,0,0,41,56.7042149758454,3,2,0,71,"0","0","0","0","0","1","0","0","0","1","0"
"8435","Bad",65,145,8,74,11,2,2,100,42.9933333333333,"6","8",13,1,83,0,2,2,74.376,66,1.80666666666667,2,1.29,100,"0","0","0","0","1","0","1","0","1","1","0"
"8481","Good",65,130,6,68,25,3,2,89,29,"5","4",29,1,43,0,1,1,46,56,8,3,2,85,"0","0","0","0","0","0","0","0","0","0","0"
"8978","Bad",56,107,18,60,14,0,0,71,3,"4","6",17,0,24,0,0,0,49,91,4,2,4,67,"0","0","0","0","0","0","0","0","0","0","0"
"9213","Bad",77,186,35,73,9,1,1,90,33.315,"6","4",10,0,30,0,0,0,0,11,2,1,0,43,"0","0","1","0","0","0","0","0","0","0","0"
"528","Bad",65,250,3,70,25,2,1,96,22,"6","5",26,2,35,0.56,4,4,45,53,7,3,0,83,"0","0","0","0","0","0","0","0","0","0","1"
"8359","Good",84,401,4,76,31,0,0,100,27.38,"7","8",31,2,19,0,0,0,18,69.5475,5,1,0,38,"0","0","0","0","0","1","0","0","0","1","0"
"4078","Good",73,287,4,102,10,1,0,55,13,"6","5",11,3,55,1.30962817362817,2,2,30,65,2,2,0,67,"0","0","0","0","0","0","0","0","0","0","1"
"2908","Good",65,258,3,98,21,7,2,70,11,"4","4",55,4,33,7,0,0,2,75,2,4,0,46,"0","0","0","0","0","0","0","0","0","0","0"
"4307","Good",74,206,5,88,47,0,0,98,39.668,"6","6",49,2,22,23,0,0,39,69,6,3,2,45,"0","0","1","0","0","0","0","0","0","0","0"
"663","Bad",64,199,4,70,32,2,1,91,7,"4","2",34,3,53,11,0,0,54,100,1,3,1,57,"0","0","0","0","0","0","0","0","0","0","0"
"456","Bad",62,265,14,104,28,6,1,67,16,"5","5",40,0,44,0,4,4,78,77,5,2,1,78,"0","0","0","0","0","0","0","0","0","0","0"
"2962","Good",80,342,8,164,22,0,0,100,32.106,"7","8",22,1,36,0,1,1,40,90,4,2,1,58,"0","0","0","0","0","0","0","0","0","1","0"
"7191","Good",85,214,5,79,28,0,0,97,39,"6","6",33,1,33,14,0,0,7,64.949,3,2,0,50,"0","0","0","0","0","1","0","0","0","0","0"
"3458","Good",76,118.86,10,51,10,0,0,100,36.2583333333333,"7","8",0,1,20,17,0,0,39,22,5,2,0,100,"0","1","0","0","0","0","0","0","0","1","0"
"4091","Good",61,183,26,111,3,1,1,60,7,"4","2",5,0,20,1.24,1,1,94,61.327619047619,1,1,1.17,100,"0","0","0","0","0","1","0","0","1","0","1"
"7446","Good",72,191,29,89,29,0,0,100,32.95275,"7","8",29,0,24,7,0,0,56,47.4706666666667,9,1,6,83,"0","0","0","0","0","1","0","0","0","1","0"
"793","Bad",57,224,4,83,25,2,0,62,3,"4","5",34,5,47,5,1,1,63,62,4,3,1,88,"0","0","0","0","0","0","0","0","0","0","0"
"7607","Good",78,294,3,71,28,0,0,100,37.1933333333333,"7","8",28,3,29,2,2,2,51,6,6,2,2,73,"0","0","0","0","0","0","0","0","0","1","0"
"9710","Bad",55,259,2,76,21,1,0,71,1,"3","5",25,1,21,5.81066666666667,0,0,23,25,9,3,0,80,"0","0","0","1","0","0","0","0","0","0","0"
"4079","Bad",70,260,5,45,13,0,0,100,35.5433333333333,"7","8",13,3,31,5.4019298245614,0,0,90,50,4,2,1,86,"0","0","0","0","0","0","0","0","0","1","1"
"7587","Good",57,336,2,90,36,0,0,90,26,"6","6",39,5,38,6,0,0,79,74,19,5,5,89,"0","0","0","0","0","0","0","0","0","0","0"
"9050","Bad",65,256,3,96,42,0,0,91,26,"6","6",46,3,30,3,1,1,56,88,11,3,2,67,"0","0","0","0","0","0","0","0","0","0","0"
"9586","Good",57,116,2,55,25,2,1,81,5,"4","5",27,1,22,0,6,6,2,65.5083333333333,2,1.68,0,18,"0","0","0","0","0","1","0","1","0","0","0"
"5222","Bad",73,126,12,61,11,0,0,100,31.88875,"7","8",11,0,45,0,1,1,71,57,4,3,2,88,"0","0","0","0","0","0","0","0","0","1","0"
"5546","Bad",57,159,3,63,23,2,0,80,9,"4","5",25,3,64,3,3,3,44,90,5,1,1,86,"0","0","0","0","0","0","0","0","0","0","0"
"6927","Bad",54,253,6,94,59,2,0,71,3,"3","2",66,5,76,0,0,0,45,55,3,2,2,71,"0","0","0","0","0","0","0","0","0","0","0"
"7161","Bad",87,115,11,59,9,0,0,100,36.565,"7","8",9,2,78,1.35271428571429,1,1,0,67.570032967033,0,2,0,50,"0","0","0","0","0","1","0","0","0","1","1"
"6287","Bad",55,116,2,51,21,2,0,83,64,"6","5",24,3,54,1,1,1,81,79,7,2,2,82,"0","0","0","0","0","0","0","0","0","0","0"
"25","Bad",64,91,4,55,19,1,1,90,0,"0","2",20,2,50,0,2,2,24,81,6,3,1,82,"0","0","0","0","0","0","0","0","0","0","0"
"2985","Bad",68,178,5,73,31,0,0,97,25,"6","6",31,2,35,0,4,4,26,82,5,3,1,67,"0","0","0","0","0","0","0","0","0","0","0"
"974","Bad",84,215,8,73,25,1,0,93,38,"6","5",27,1,41,20,0,0,0,66.5040909090909,0,1.38,0,17,"0","0","0","0","0","1","0","1","0","0","0"
"4482","Good",81,190,6,84,21,0,0,100,36.335,"7","8",21,2,29,7,0,0,8,91,5,2,0,88,"0","0","0","0","0","0","0","0","0","1","0"
"2099","Good",69,153,4,118,16,1,0,72,34,"6","5",15,1,11,5.22666666666667,0,0,58,61.761,8,1,0,82,"0","0","0","0","0","1","0","0","0","0","1"
"8037","Good",74,311,3,102,39,0,0,100,29.8488095238095,"7","8",41,2,20,3,2,2,15,53,9,1,1,48,"0","0","0","0","0","0","0","0","0","1","0"
"3672","Bad",70,131,1,75,19,0,0,95,0,"4","6",20,2,25,0,5,5,15,46,4,3,1,54,"0","0","0","0","0","0","0","0","0","0","0"
"3147","Good",76,160,5,55,15,0,0,100,35.1266666666667,"7","8",28,2,47,4,1,1,60,96,2,3,1,100,"0","0","0","0","0","0","0","0","0","1","0"
"3802","Bad",61,157,2,53,24,0,0,84,1,"4","6",25,4,36,0,0,0,41,98,1,4,1,55,"0","0","0","0","0","0","0","0","0","0","0"
"997","Bad",73,69,24,42,7,0,0,100,31.89875,"7","8",7,0,14,4.57462686567164,1,0,54,37,5,1,1,86,"0","0","0","0","0","0","0","0","0","1","1"
"5463","Bad",64,207,25,77,11,2,2,82,13,"6","6",11,0,36,0.864714285714286,2,2,57,22,2,2,0,71,"0","0","0","0","0","0","0","0","0","0","1"
"779","Good",66,147,4,68,37,5,4,90,73,"6","2",42,3,43,1,1,1,65,78,10,3,2,87,"0","0","0","0","0","0","0","0","0","0","0"
"3632","Bad",86,335,5,104,18,0,0,100,37.6791666666667,"7","8",5,2,32,4,1,1,4,81,4,1,1,71,"0","0","0","0","0","0","0","0","0","1","0"
"6425","Good",69,57,0,21,8,0,0,78,23,"6","6",9,4,0,0,1,1,4,69.1658333333333,2,1.42,0,29,"0","0","0","0","0","1","0","1","0","0","0"
"5258","Bad",61,264,11,110,12,4,3,69,4,"2","4",16,2,38,0,2,2,2,63.7333333333333,1,1,0,33,"0","0","0","0","0","1","0","0","0","0","0"
"3554","Good",67,50,4,27,9,1,1,89,34,"6","6",9,2,44,0,2,2,3,36,1,2,0,43,"0","0","0","0","0","0","0","0","0","0","0"
"5916","Good",79,192,16,88,19,0,0,100,32.7185714285714,"7","8",20,0,45,0,2,2,47,63.9986928104575,1,1.36238095238095,1,20,"0","0","0","0","0","1","0","1","0","1","0"
"1548","Bad",74,312,1,73,29,0,0,97,37.7418333333333,"6","6",30,4,17,0,3,3,14,87,3,1,1,27,"0","0","1","0","0","0","0","0","0","0","0"
"8339","Good",67,88,3,38,19,0,0,95,44,"7","6",21,4,33,0,3,3,36,78,3,2,1,50,"0","0","0","0","0","0","0","0","0","0","0"
"264","Bad",65,77,6,50,2,1,1,67,57,"6","3",3,1,67,0,0,0,57.81,84.3933333333333,1.24666666666667,1,0.54,100,"0","0","0","0","1","1","1","0","1","0","0"
"6960","Bad",71,158,1,71,29,0,0,100,33.07,"7","8",30,6,30,0,2,2,39,94,5,3,2,67,"0","0","0","0","0","0","0","0","0","1","0"
"5869","Good",82,589,3,213,6,0,0,100,34.9188888888889,"7","8",6,2,17,0,1,1,30,64.5833333333333,3,1.22,1,60,"0","0","0","0","0","1","0","1","0","1","0"
"2229","Good",65,154,31,121,7,1,1,78,16,"6","2",5,0,33,6.51,0,0,85,50.7,2,1.1,1,100,"0","0","0","0","0","1","0","1","0","0","1"
"6502","Bad",69,130,2,60,13,3,1,82,41,"6","2",18,1,53,0,3,3,6,60,3,4,1,88,"0","0","0","0","0","0","0","0","0","0","0"
"3103","Good",56,195,2,57,40,0,0,95,7,"4","6",83,2,37,1,4,4,38,83,8,6,4,71,"0","0","0","0","0","0","0","0","0","0","0"
"1739","Bad",65,174,3,63,15,1,0,81,1,"4","5",16,5,50,0,4,4,32,66,3,4,0,64,"0","0","0","0","0","0","0","0","0","0","0"
"8395","Bad",67,82,5,44,14,2,2,100,35.1277777777778,"6","8",16,2,36,0,0,0,16,33,4,2,1,75,"0","0","0","0","0","0","0","0","0","1","0"
"8715","Good",82,273,6,103,28,0,0,100,31.49,"7","8",32,1,31,1,1,1,2,61.1000595238095,4,3,0,50,"0","0","0","0","0","1","0","0","0","1","0"
"5665","Good",85,211,19,119,12,1,0,86,41,"6","5",15,0,29,9.48416666666667,0,0,5,59.1056666666667,4,1,0,71,"0","0","0","1","0","1","0","0","0","0","0"
"153","Good",65,256,40,190,23,1,1,85,5,"4","4",27,0,52,5,0,0,75,27,4,3,1,88,"0","0","0","0","0","0","0","0","0","0","0"
"6137","Good",76,282,3,64,39,0,0,100,33.13,"7","8",40,3,28,5.62616111111111,0,0,14,86,6,1,2,44,"0","0","0","0","0","0","0","0","0","1","1"
"4608","Bad",54,366,5,74,27,0,0,93,3,"4","6",27,2,4,0,1,1,87,68.9742857142857,9,1.31,5,100,"0","0","0","0","0","1","0","1","0","0","0"
"3932","Good",71,122,4,75,17,4,4,84,73,"6","3",25,3,52,0,1,1,7,76,2,7,0,71,"0","0","0","0","0","0","0","0","0","0","0"
"2616","Good",75,121,3,52,21,0,0,100,32.895,"7","8",8,4,19,22,0,0,34,85,5,4,1,75,"0","0","0","0","0","0","0","0","0","1","0"
"296","Good",84,149,13,80,13,0,0,100,37.63,"7","8",13,0,85,0,1,1,0,87,0,2,0.0699999999999998,67,"0","0","0","0","0","0","0","0","1","1","0"
"8264","Good",84,213,9,76,17,0,0,100,31.3533333333333,"7","8",17,1,18,16,0,0,35,53,2,2,0,57,"0","0","0","0","0","0","0","0","0","1","0"
"464","Good",72,88,8,70,19,2,2,95,49,"6","2",20,1,10,7.79772256728779,0,0,0,59.84,0,1.305,0,9,"0","0","0","0","0","1","0","1","0","0","1"
"810","Good",88,320,4,93,52,0,0,100,33.9033333333333,"7","8",55,3,22,6,0,0,3,71,3,1,0,36,"0","0","0","0","0","0","0","0","0","1","0"
"4760","Bad",55,590,2,185,29,1,0,90,7,"4","5",31,4,19,0,1,1,55,60.845,10,1.52791666666667,3,69,"0","0","0","0","0","1","0","1","0","0","0"
"6184","Good",62,197,7,60,43,0,0,100,32.1169565217391,"7","8",54,1,44,1.52833333333333,1,1,103,70,14,11,4,100,"0","0","0","0","0","0","0","0","0","1","1"
"2926","Bad",59,209,13,85,38,1,0,78,3,"4","5",37,0,53,0,7,7,88,28,4,5,2,100,"0","0","0","0","0","0","0","0","0","0","0"
"6786","Good",78,185,12,63,13,0,0,100,30.6481414768806,"7","8",13,0,31,0,0,0,45,64.9715119328613,8,1,2,100,"0","0","0","0","0","1","0","0","0","1","0"
"4243","Bad",66,183,17,62,28,0,0,100,32.6766666666667,"7","8",29,0,28,12,0,0,86,54,8,2,8,91,"0","0","0","0","0","0","0","0","0","1","0"
"8770","Good",65,340,0,95,21,3,1,85,65,"6","5",26,3,81,6.645,0,0,36,59,2,6,0.816153846153846,89,"0","0","0","1","0","0","0","0","1","0","0"
"1797","Bad",77,73,3,41,22,0,0,100,30.1281944444444,"7","8",22,2,27,0,1,1,0,94,1,3,0,29,"0","0","0","0","0","0","0","0","0","1","0"
"1286","Bad",73,110,8,71,8,4,0,50,37,"6","5",14,1,43,0,1,1,14,68.072,1,2,1,43,"0","0","0","0","0","1","0","0","0","0","0"
"8332","Bad",75,415,20,75,22,1,1,83,9,"4","4",23,0,22,0,3,3,2,23,2,1,0,33,"0","0","0","0","0","0","0","0","0","0","0"
"1934","Bad",74,264,11,64,28,0,0,96,29,"6","6",58,1,29,0.42,5,5,37,65.2258333333333,5,2,1,44,"0","0","0","0","0","1","0","0","0","0","1"
"5250","Good",81,303,17,103,6,0,0,86,25,"6","6",7,0,14,0,0,0,26,57.5890322580645,1,1,0,40,"0","0","0","0","0","1","0","0","0","0","0"
"1360","Bad",65,180,2,81,7,2,0,73,15,"6","5",11,2,18,0,0,0,81,75.965,2,1,1,100,"0","0","0","0","0","1","0","0","0","0","0"
"1597","Bad",65,317,5,132,12,2,1,80,10,"3","2",15,4,20,0,9,7,43,90,7,2,2,100,"0","0","0","0","0","0","0","0","0","0","0"
"8851","Good",77,251,29,111,23,3,1,89,43,"6","5",27,0,56,0,1,1,2,42,3,2,0,63,"0","0","0","0","0","0","0","0","0","0","0"
"5083","Good",75,141,2,83,16,0,0,94,32,"6","6",18,1,39,1,2,2,36,53,3,3,1,54,"0","0","0","0","0","0","0","0","0","0","0"
"9220","Bad",61,205,4,78,22,0,0,95,1,"4","6",22,2,23,0,0,0,70,75,4,2,3,46,"0","0","0","0","0","0","0","0","0","0","0"
"6955","Good",76,177,30,80,13,0,0,85,26,"6","6",13,0,54,0,1,1,42,50.18,2,1,0,60,"0","0","0","0","0","1","0","0","0","0","0"
"3240","Good",67,323,7,90,28,0,0,100,33.525,"7","8",9,3,43,3,2,2,87,64,4,7,4,100,"0","0","0","0","0","0","0","0","0","1","0"
"30","Bad",69,476,8,157,38,4,4,100,37.59,"6","8",39,1,36,0,4,4,50,54,14,2,4,89,"0","0","0","0","0","0","0","0","0","1","0"
"6025","Bad",75,127,10,54,16,0,0,94,47,"6","6",16,1,44,0,6,6,4,17,2,3,1,56,"0","0","0","0","0","0","0","0","0","0","0"
"9651","Good",82,92,6,49,12,0,0,100,37.9733333333333,"7","8",12,1,17,5,0,0,6,70.0253333333333,6,1,0,64,"0","0","0","0","0","1","0","0","0","1","0"
"7855","Bad",59,442,0,115,21,2,2,68,3,"0","2",26,2,27,0,1,1,33,70,5,3,1,63,"0","0","0","0","0","0","0","0","0","0","0"
"4023","Bad",63,20,3,10,15,0,0,100,35.2385714285714,"7","8",15,11,13,0,7,6,18,91,4,2,1,40,"0","0","0","0","0","0","0","0","0","1","0"
"623","Bad",84,325,2,107,13,0,0,100,35.82,"7","8",14,2,29,1,1,1,19,98,4,3,0,70,"0","0","0","0","0","0","0","0","0","1","0"
"5946","Bad",74,185,7,79,25,0,0,100,32.7266666666667,"7","8",25,3,44,0,1,1,47,93,7,3,2,67,"0","0","0","0","0","0","0","0","0","1","0"
"1278","Good",72,212,11,87,20,0,0,95,1,"4","6",22,1,41,0,1,1,24,56,6,4,0,100,"0","0","0","0","0","0","0","0","0","0","0"
"5061","Good",82,368,0,89,23,0,0,96,43,"6","6",26,1,54,11,0,0,16,83,2,1,1,38,"0","0","0","0","0","0","0","0","0","0","0"
"4136","Bad",63,95,3,46,15,1,1,93,12,"6","6",15,1,27,0.249999999999999,1,1,68,82,6,2,3,80,"0","0","0","0","0","0","0","0","0","0","1"
"4200","Good",74,175,5,64,34,0,0,100,33.9116666666667,"7","8",34,2,29,4,1,1,53,99,5,2,0,50,"0","0","0","0","0","0","0","0","0","1","0"
"7659","Bad",75,89,12,48,10,0,0,90,27,"6","6",10,0,50,0,0,0,0,69.16,0,1,0.31,50,"0","0","0","0","0","1","0","0","1","0","0"
"5466","Good",78,267,22,173,13,0,0,92,72,"6","6",14,0,8,5.54611111111111,0,0,71,51.6632727272727,2,1,1,50,"0","0","0","0","0","1","0","0","0","0","1"
"678","Good",76,217,14,83,23,0,0,100,32.3,"7","8",26,0,22,11,0,0,17,51,10,3,2,81,"0","0","0","0","0","0","0","0","0","1","0"
"3876","Bad",75,193,3,52,23,1,0,96,43,"6","2",24,2,29,0,0,0,27,66.255,9,1,1,67,"0","0","0","0","0","1","0","0","0","0","0"
"5647","Good",79,275,0,91,13,0,0,86,6,"4","6",14,3,29,6,0,0,0,70.23,1,1,0,33,"0","0","0","0","0","1","0","0","0","0","0"
"4785","Good",70,63,2,36,14,0,0,100,35.18125,"7","8",15,4,47,0,1,1,70,77.4866666666667,4,1,2,71,"0","0","0","0","0","1","0","0","0","1","0"
"2120","Bad",58,205,8,15,4,0,0,100,31.7433333333333,"7","8",16,3,25,0.59,3,3,91,80.125,3,1,1,100,"0","0","0","0","0","1","0","0","0","1","1"
"7531","Good",72,403,31,180,23,0,0,87,56,"6","6",23,0,17,0,1,1,53,51.785,9,1,3,83,"0","0","0","0","0","1","0","0","0","0","0"
"2038","Good",86,248,21,150,22,0,0,100,32.1549487179487,"7","8",35,0,54,6.90165144167427,0,0,4,42.467,3,1.67209523809524,0,50,"0","0","0","0","0","1","0","1","0","1","1"
"1522","Bad",62,192,5,38,22,0,0,100,35.4225,"7","8",22,2,9,0,3,3,65,68.645,15,1.37,7,79,"0","0","0","0","0","1","0","1","0","1","0"
"5081","Good",80,173,54,100,12,0,0,100,35.079347826087,"7","8",13,0,31,0,3,3,69,43,4,2,1,86,"0","0","0","0","0","0","0","0","0","1","0"
"7310","Good",80,259,2,82,29,0,0,100,32.2633333333333,"7","8",32,2,59,2,1,1,26,72,3,4,0,50,"0","0","0","0","0","0","0","0","0","1","0"
"748","Good",70,218,6,86,59,0,0,100,41.1096666666667,"6","7",61,1,52,1,3,3,65,71,12,6,6,68,"0","0","0","0","0","0","0","0","0","1","0"
"6403","Good",86,201,14,87,17,0,0,94,21,"6","6",18,0,33,0,1,1,1,62.8583333333333,2,1,0,33,"0","0","0","0","0","1","0","0","0","0","0"
"4255","Good",79,197,17,100,15,0,0,93,29,"6","6",15,0,40,5,1,1,48,26,1,2,1,75,"0","0","0","0","0","0","0","0","0","0","0"
"4590","Good",71,216,27,70,16,0,0,94,20,"6","6",17,0,13,7,0,0,75,41.407803030303,2,1,1,60,"0","0","0","0","0","1","0","0","0","0","0"
"2169","Good",87,172,17,112,18,0,0,100,31.5933333333333,"7","8",3,0,28,9.38019522222591,0,0,7,25,4,2,0,75,"0","0","0","0","0","0","0","0","0","1","1"
"3014","Good",70,154.024791666667,4,65,21,0,0,90,10,"4","6",0,2,33,7.60333333333333,0,0,31,75,5,4,1,82,"0","1","0","1","0","0","0","0","0","0","0"
"3063","Bad",57,206,4,78,27,0,0,89,4,"4","6",37,3,14,1,3,3,27,56,8,2,2,59,"0","0","0","0","0","0","0","0","0","0","0"
"8862","Bad",67,59,3,36,8,1,1,89,7,"3","4",9,2,56,3,1,1,4,77,2,3,0,83,"0","0","0","0","0","0","0","0","0","0","0"
"6813","Bad",66,389,39,114,19,1,0,78,17,"6","5",23,0,35,0,6,6,62,40.93,3,2,2,63,"0","0","0","0","0","1","0","0","0","0","0"
"6037","Good",73,418,9,111,18,2,1,90,4,"0","2",20,1,25,0,0,0,11,63.9878571428571,2,1,0,43,"0","0","0","0","0","1","0","0","0","0","0"
"1787","Bad",87,130,12,46,26,0,0,100,28.7233333333333,"7","8",26,0,12,0,0,0,4,62.9117222222222,2,1.092,0,40,"0","0","0","0","0","1","0","1","0","1","0"
"9850","Good",82,115,4,58,24,1,0,96,50,"6","5",25,4,52,4,1,1,2,52,1,4,0,71,"0","0","0","0","0","0","0","0","0","0","0"
"3076","Good",91,232,80,141,14,0,0,100,35.3258653846154,"7","8",22,0,0,9,0,0,2,42.7468333333333,2,1.18867647058824,0,33,"0","0","0","0","0","1","0","1","0","1","0"
"7888","Bad",79,244,12,74,26,1,0,93,21,"6","5",28,0,14,0,0,0,3,50,5,2,0,39,"0","0","0","0","0","0","0","0","0","0","0"
"8119","Bad",70,212,1,56,32,0,0,100,30.51,"7","8",36,11,36,1,4,4,19,91,7,2,0,75,"0","0","0","0","0","0","0","0","0","1","0"
"8932","Bad",70,119,3,29,8,0,0,88,2,"4","6",8,1,75,0,2,2,0,49,0,4,0.21,80,"0","0","0","0","0","0","0","0","1","0","0"
"9291","Good",76,164,7,72,29,0,0,86,45,"6","6",29,2,14,0,0,0,3,14,4,1,1,36,"0","0","0","0","0","0","0","0","0","0","0"
"5670","Good",80,291,13,155,31,0,0,100,36.0121428571429,"7","8",31,0,6,0,1,1,21,80,7,1,1,42,"0","0","0","0","0","0","0","0","0","1","0"
"7293","Good",70,219,12,95,16,2,2,94,15,"6","2",17,0,41,23,0,0,60,33,2,2,1,80,"0","0","0","0","0","0","0","0","0","0","0"
"2799","Good",86,404,1,101,24,0,0,97,16,"6","6",29,3,24,18,0,0,3,48,4,1,0,38,"0","0","0","0","0","0","0","0","0","0","0"
"5668","Good",83,190,26,102,32,0,0,97,52,"6","6",33,0,19,2,1,1,2,20,2,3,0,42,"0","0","0","0","0","0","0","0","0","0","0"
"3756","Bad",64,154,1,79,17,0,0,53,17,"6","6",19,1,53,0,1,1,99,82,1,2,1,100,"0","0","0","0","0","0","0","0","0","0","0"
"867","Good",71,291,3,91,16,0,0,88,22,"6","6",17,1,47,10,0,0,31,60,4,6,1,83,"0","0","0","0","0","0","0","0","0","0","0"
"647","Good",88,166,17,84,12,0,0,100,32.86,"7","8",12,0,17,13,0,0,0,56.3612784679089,0,1,0,25,"0","0","0","0","0","1","0","0","0","1","0"
"4335","Bad",75,183,1,81,31,0,0,100,32.569347826087,"7","8",33,4,9,0,2,2,37,75.314,6,1,1,41,"0","0","0","0","0","1","0","0","0","1","0"
"2946","Bad",63,222,6,52,24,0,0,92,70,"6","6",26,5,58,0,4,4,86,71,8,5,4,100,"0","0","0","0","0","0","0","0","0","0","0"
